Year/Ann�e,Facility ID/ID de l'installation,Facility name/Nom de l'installation,Organization name/Nom de l'organisation,Final discharge point name/Nom de point de rejet final,Latitude,Longitude,Metal,Resource,Number of Families,Families,Number of Beings,Beings,Reference
2023,48889,Aurbel Mill,Eldorado Gold Corporation,effluent final du parc � r�sidus Aurbel,48.13566,-77.64693,Gold,https://www.eldoradogold.com/,0,N/A,0,N/A,https://data-donnees.az.ec.gc.ca/data/substances/plansreports/metal-and-diamond-mining-effluent-regulations-compliance-data/2019-present-pr%C3%A9sent-MDMER-REMMMD/3-2019-present-pr%C3%A9sent-MDMER-REMMMD-final-discharge-points-points-de-rejet-final.csv
2023,30514,Beaver Brook Antimony Mine Inc.,Beaver Brook Antimony Mine Inc.,Final Discharge Point,48.43035,-55.1205,Closed,N/A,N/A,N/A,N/A,N/A,https://data-donnees.az.ec.gc.ca/data/substances/plansreports/metal-and-diamond-mining-effluent-regulations-compliance-data/2019-present-pr%C3%A9sent-MDMER-REMMMD/3-2019-present-pr%C3%A9sent-MDMER-REMMMD-final-discharge-points-points-de-rejet-final.csv
2023,1512,Bell Creek Complex,Lake Shore Gold,PP-PR,48.5523,-81.173,Closed,N/A,N/A,N/A,N/A,N/A,https://data-donnees.az.ec.gc.ca/data/substances/plansreports/metal-and-diamond-mining-effluent-regulations-compliance-data/2019-present-pr%C3%A9sent-MDMER-REMMMD/3-2019-present-pr%C3%A9sent-MDMER-REMMMD-final-discharge-points-points-de-rejet-final.csv
2023,30748,Bellekeno Mine,Alexco Keno Hill Mining Corp.,KV-43,63.84972,-135.46694,"Silver, Zinc",https://www.hecla.com/operations/hecla-keno-hill-yukon-territory-canada,0,N/A,0,N/A,https://data-donnees.az.ec.gc.ca/data/substances/plansreports/metal-and-diamond-mining-effluent-regulations-compliance-data/2019-present-pr%C3%A9sent-MDMER-REMMMD/3-2019-present-pr%C3%A9sent-MDMER-REMMMD-final-discharge-points-points-de-rejet-final.csv
2023,N/A,Blackater Project ,BlackWater Gold Ltd.,N/A,53.17567,-124.8839,"Gold, Silver",https://gazette.gc.ca/rp-pr/p2/2023/2023-06-21/html/sor-dors122-eng.html,0,N/A,0,N/A,https://data-donnees.az.ec.gc.ca/data/substances/plansreports/metal-and-diamond-mining-effluent-regulations-compliance-data/2019-present-pr%C3%A9sent-MDMER-REMMMD/3-2019-present-pr%C3%A9sent-MDMER-REMMMD-final-discharge-points-points-de-rejet-final.csv
2023,1043,Bernic Lake Minesite,Sinomine (Hong Kong) Rare Metals Resources Co,West Discharge,50.4283,-95.4539,"Cesium, Rubidium, Lithium Tantalum",https://sinomineamericas.com/about/,1,['Glossiphoniidae'],1,['Glossiphonia elegans'],https://data-donnees.az.ec.gc.ca/data/substances/plansreports/metal-and-diamond-mining-effluent-regulations-compliance-data/2019-present-pr%C3%A9sent-MDMER-REMMMD/3-2019-present-pr%C3%A9sent-MDMER-REMMMD-final-discharge-points-points-de-rejet-final.csv
2023,30780,Birchtree Mine,Vale Canada Limited,Birchtree Effluent Treatment Plant Discharge,55.47,-97.48,"Nickel, Copper, Cobalt, Platinum",https://vale.com/canada,0,N/A,0,N/A,https://data-donnees.az.ec.gc.ca/data/substances/plansreports/metal-and-diamond-mining-effluent-regulations-compliance-data/2019-present-pr%C3%A9sent-MDMER-REMMMD/3-2019-present-pr%C3%A9sent-MDMER-REMMMD-final-discharge-points-points-de-rejet-final.csv
2023,30894,Bonanza Ledge Mine,Osisko Developement Corp.,Sediment Control Pond (SCP-NAG),53.075,-121.55639,Gold,https://osiskodev.com/,0,N/A,0,N/A,https://data-donnees.az.ec.gc.ca/data/substances/plansreports/metal-and-diamond-mining-effluent-regulations-compliance-data/2019-present-pr%C3%A9sent-MDMER-REMMMD/3-2019-present-pr%C3%A9sent-MDMER-REMMMD-final-discharge-points-points-de-rejet-final.csv
2023,30894,Bonanza Ledge Mine,Osisko Developement Corp.,E2 - North Seepage Pond,53.07501,-121.5564,Gold,https://osiskodev.com/,0,N/A,0,N/A,https://data-donnees.az.ec.gc.ca/data/substances/plansreports/metal-and-diamond-mining-effluent-regulations-compliance-data/2019-present-pr%C3%A9sent-MDMER-REMMMD/3-2019-present-pr%C3%A9sent-MDMER-REMMMD-final-discharge-points-points-de-rejet-final.csv
2023,30894,Bonanza Ledge Mine,Osisko Developement Corp.,E12 - West Zone Portal,53.07502,-121.55641,Gold,https://osiskodev.com/,0,N/A,0,N/A,https://data-donnees.az.ec.gc.ca/data/substances/plansreports/metal-and-diamond-mining-effluent-regulations-compliance-data/2019-present-pr%C3%A9sent-MDMER-REMMMD/3-2019-present-pr%C3%A9sent-MDMER-REMMMD-final-discharge-points-points-de-rejet-final.csv
2023,30894,Bonanza Ledge Mine,Osisko Developement Corp.,North Portal,53.07503,-121.55642,Gold,https://osiskodev.com/,0,N/A,0,N/A,https://data-donnees.az.ec.gc.ca/data/substances/plansreports/metal-and-diamond-mining-effluent-regulations-compliance-data/2019-present-pr%C3%A9sent-MDMER-REMMMD/3-2019-present-pr%C3%A9sent-MDMER-REMMMD-final-discharge-points-points-de-rejet-final.csv
2023,30894,Bonanza Ledge Mine,Osisko Developement Corp.,Weir 8/Creek 3,53.07504,-121.55643,Gold,https://osiskodev.com/,0,N/A,0,N/A,https://data-donnees.az.ec.gc.ca/data/substances/plansreports/metal-and-diamond-mining-effluent-regulations-compliance-data/2019-present-pr%C3%A9sent-MDMER-REMMMD/3-2019-present-pr%C3%A9sent-MDMER-REMMMD-final-discharge-points-points-de-rejet-final.csv
2023,34525,Borden Gold Project,GOLDCORP CANADA LTD.,Effluent Discharge (Effluent),47.87069,-83.26104,Gold,https://canadiangoldcorp.com/,1,['Leptoceridae'],1,['Oecetis avara'],https://data-donnees.az.ec.gc.ca/data/substances/plansreports/metal-and-diamond-mining-effluent-regulations-compliance-data/2019-present-pr%C3%A9sent-MDMER-REMMMD/3-2019-present-pr%C3%A9sent-MDMER-REMMMD-final-discharge-points-points-de-rejet-final.csv
2023,32181,Bradshaw Gold Mine,Gowest Gold Ltd.,FE-BGD-1,48.74617,-81.16666,Gold,https://gowestgold.com/,0,N/A,0,N/A,https://data-donnees.az.ec.gc.ca/data/substances/plansreports/metal-and-diamond-mining-effluent-regulations-compliance-data/2019-present-pr%C3%A9sent-MDMER-REMMMD/3-2019-present-pr%C3%A9sent-MDMER-REMMMD-final-discharge-points-points-de-rejet-final.csv
2023,56268,Broken Hammer Mine Site,Archer Exploration Corp. ,BP-1,46.76472,-81.03583,Copper,https://wallbridgemining.com/news/wallbridge-resumes-its-broken-hammer-operation/,0,N/A,0,N/A,https://data-donnees.az.ec.gc.ca/data/substances/plansreports/metal-and-diamond-mining-effluent-regulations-compliance-data/2019-present-pr%C3%A9sent-MDMER-REMMMD/3-2019-present-pr%C3%A9sent-MDMER-REMMMD-final-discharge-points-points-de-rejet-final.csv
2023,56268,Broken Hammer Mine Site,Wallbridge Mining Company Ltd,BP-1,46.76473,-81.03584,Copper,https://wallbridgemining.com/news/wallbridge-resumes-its-broken-hammer-operation/,0,N/A,0,N/A,https://data-donnees.az.ec.gc.ca/data/substances/plansreports/metal-and-diamond-mining-effluent-regulations-compliance-data/2019-present-pr%C3%A9sent-MDMER-REMMMD/3-2019-present-pr%C3%A9sent-MDMER-REMMMD-final-discharge-points-points-de-rejet-final.csv
2023,29002,Brucejack Gold Mine,Pretium Resources Inc.,Brucejack Lake Outflow Final Discharge,56.46624,-130.18596,Gold,https://northernminer.com/company/092934308/,0,N/A,0,N/A,https://data-donnees.az.ec.gc.ca/data/substances/plansreports/metal-and-diamond-mining-effluent-regulations-compliance-data/2019-present-pr%C3%A9sent-MDMER-REMMMD/3-2019-present-pr%C3%A9sent-MDMER-REMMMD-final-discharge-points-points-de-rejet-final.csv
2023,1424,Bucko Lake Mine,CaNickel Mining Limited,Settling Pond Discharge,54.87694,-98.65722,Nickel,https://www.canickel.com/,0,N/A,0,N/A,https://data-donnees.az.ec.gc.ca/data/substances/plansreports/metal-and-diamond-mining-effluent-regulations-compliance-data/2019-present-pr%C3%A9sent-MDMER-REMMMD/3-2019-present-pr%C3%A9sent-MDMER-REMMMD-final-discharge-points-points-de-rejet-final.csv
2023,34797,Campbell Complex,Goldcorp Canada Limited - Red Lake Gold Mines,Wetout,51.0597,-93.7308,Gold,https://canadiangoldcorp.com/,0,N/A,0,N/A,https://data-donnees.az.ec.gc.ca/data/substances/plansreports/metal-and-diamond-mining-effluent-regulations-compliance-data/2019-present-pr%C3%A9sent-MDMER-REMMMD/3-2019-present-pr%C3%A9sent-MDMER-REMMMD-final-discharge-points-points-de-rejet-final.csv
