ID,Company,Locality,Address,Match Method,Coordinates,Product,Resources,Number of Families,Families,Number of Beings,Beings
QC12,Irving (Pulp and Paper),"Saint John, NB","408 Mill Road, Saint John, E2M 3H1",Address,"45.2584092,-66.0897120",Pulp and Paper,https://www.jdirving.com/en/our-business-division/forestry-products/irvingpulpandpaper/,2,"['Corduliidae', 'Coenagrionidae']",2,"['Somatochlora walshii', 'Enallagma minusculum']"
QC27,Kruger,"Sherbrooke, QC","2888 Rue du College, Sherbrooke, J1M 1Z4",Address,"45.4103798,-71.8867365",Paper (Tissue Products),https://www.kruger.com/contact-us/location/,0,N/A,0,N/A
QC31,Sustana Fiber,"Breakyville, QC","3805 St. Augustin Avenue, Breakeyville, G0S 1E2",Address,"46.6730669,-71.2274548",Recycled Paper,https://sustanasolutions.com/,0,N/A,0,N/A
QC20,Kruger,"New Westminster, BC","1625 5th Avenue, New Westminster, V3M 1Z7",Address,"49.2067726,-122.9108818",Paper (Tissue Products),https://www.kruger.com/contact-us/location/,15,"['Chironomidae', 'Crambidae', 'Ceratopogonidae', 'Limnephilidae', 'Staphylinidae', 'Tipulidae', 'Planorbidae', 'Limoniidae', 'Dolichopodidae']",10,"['Bryophaenocladius sp. 8ES', 'Anania hortulata', 'Crambus praefectellus', 'Dasyhelea incisurata', 'Limnephilus nogus', 'Tachyporus nitidulus', 'Tipula paludosa', 'Tipula oleracea', 'Limonia nubeculosa', 'Cheilotrichia cinerascens']"
QC09,Canadian Kraft Paper Industries,"The Pas, MB","MB-285, The Pas, R9A 1L4",Address,"53.8224172,-101.2405153",Paper,https://www.canadiankraftpaper.com/our-products,0,N/A,0,N/A
AB01,Bioveld Canada,"Thorold, ON","2 Allanburg Road, Thorold, L2V 3Z5",Address + Postal,"43.1075406,-79.1990776",Renewable Natural Gas,https://www.thebmigroup.ca/portfolio/bioveld,0,N/A,0,N/A
AB02,Dunn Paper,"St. Catharines, ON","45 Merritt Street, St. Catharines, L2T 1J4",Address + Postal,"43.1344973,-79.2007340",Paper (Tissue Products),https://www.bioriginsp.com/,0,N/A,0,N/A
AB03,Cascades,"Trenton, ON","300 Marmora Street, Trenton, K8V 5R8",Address + Postal,"44.1135501,-77.5874539",Corrugated Medium,https://www.cascades.com/en/products-services/fibre-based-materials/containerboard,2,"['Hydroptilidae', 'Leptoceridae']",2,"['Agraylea sp.', 'Nectopsyche albida']"
AB05,Maibec,"East River, NS","2005 Highway 3, East Chester, B0J 1T0",Address + Postal,"44.5851599,-64.1621090",Lumber,https://maibec.com/en/products/,0,N/A,0,N/A
AB06,CKF Incorporated,"Hansport, NS","48 Prince Street, Hantsport, B0P 1P0",Address + Postal,"45.0658522,-64.1732322",Kraft Paper,https://ckfinc.com/retail/,0,N/A,0,N/A
AB07,Irving,"Lake Utopia, NB","600 NB-785, Utopia, E5C 2K4",Address + Postal,"45.1300775,-66.7552392",Pulp and Paper,https://www.jdirving.com/en/our-business-division/forestry-products/irvingpulpandpaper/,0,N/A,0,N/A
