Lot_ID,Mine,Lot_station,Station_ID,Station_site,Station_waypoint,Station_latitude,Station_longitude,Station_waterbody,Site_province,Site_region,Site_locality,Site_narrative_loc,Site_name,Site_category,Site_waterbody,Site_comments,Metal,Resource,Number of Families,Families,Number of Beings,Beings
KRAC23-B1,Kirkland Lake Gold Ltd,KRAC23-B1,KRAC23-B1,KR-AC,KR-AC-B1,48.13062897,-80.09303817,Amikougami Creek,Ontario,Timiskaming,"Amikougami Creek, Kirkland Lake",Amikougami Creek,Amikougami Creek,Reference,Amikougami Creek,Kirkland Lake reference site,Gold,https://www.kirklandlakediscoveries.com/,0,N/A,0,N/A
KRAC23-B2,Kirkland Lake Gold Ltd,KRAC23-B2,KRAC23-B2,KR-AC,KR-AC-B2,48.13067395,-80.09303738,Amikougami Creek,Ontario,Timiskaming,"Amikougami Creek, Kirkland Lake",Amikougami Creek,Amikougami Creek,Reference,Amikougami Creek,Kirkland Lake reference site,Gold,https://www.kirklandlakediscoveries.com/,0,N/A,0,N/A
KRAC23-W1,Kirkland Lake Gold Ltd,KRAC23-B3,KRAC23-B3,KR-AC,KR-AC-B3,48.13078211,-80.09306235,Amikougami Creek,Ontario,Timiskaming,"Amikougami Creek, Kirkland Lake",Amikougami Creek,Amikougami Creek,Reference,Amikougami Creek,Kirkland Lake reference site,Gold,https://www.kirklandlakediscoveries.com/,0,N/A,0,N/A
KRAC23-B3,Kirkland Lake Gold Ltd,KRAC23-B3,KRAC23-B3,KR-AC,KR-AC-B3,48.13078211,-80.09306235,Amikougami Creek,Ontario,Timiskaming,"Amikougami Creek, Kirkland Lake",Amikougami Creek,Amikougami Creek,Reference,Amikougami Creek,Kirkland Lake reference site,Gold,https://www.kirklandlakediscoveries.com/,0,N/A,0,N/A
KRAC23-B4,Kirkland Lake Gold Ltd,KRAC23-B4,KRAC23-B4,KR-AC,KR-AC-B4,48.13089874,-80.09301998,Amikougami Creek,Ontario,Timiskaming,"Amikougami Creek, Kirkland Lake",Amikougami Creek,Amikougami Creek,Reference,Amikougami Creek,Kirkland Lake reference site,Gold,https://www.kirklandlakediscoveries.com/,0,N/A,0,N/A
KRAC23-B5,Kirkland Lake Gold Ltd,KRAC23-B5,KRAC23-B5,KR-AC,KR-AC-B5,48.13098827,-80.09296464,Amikougami Creek,Ontario,Timiskaming,"Amikougami Creek, Kirkland Lake",Amikougami Creek,Amikougami Creek,Reference,Amikougami Creek,Kirkland Lake reference site,Gold,https://www.kirklandlakediscoveries.com/,0,N/A,0,N/A
KEAC23-B1,Kirkland Lake Gold Ltd,KEAC23-B1,KEAC23-B1,KE-AC,KE-AC-B1,48.12697535,-80.09179894,Amikougami Creek,Ontario,Timiskaming,"Amikougami Creek,Kirkland Lake",Amikougami Creek,Amikougami Creek,Exposure,Amikougami Creek,Kirkland Lake exposure site,Gold,https://www.kirklandlakediscoveries.com/,0,N/A,0,N/A
KEAC23-B2,Kirkland Lake Gold Ltd,KEAC23-B2,KEAC23-B2,KE-AC,KE-AC-B2,48.12703811,-80.09177095,Amikougami Creek,Ontario,Timiskaming,"Amikougami Creek,Kirkland Lake",Amikougami Creek,Amikougami Creek,Exposure,Amikougami Creek,Kirkland Lake exposure site,Gold,https://www.kirklandlakediscoveries.com/,0,N/A,0,N/A
KRAC23-W2,Kirkland Lake Gold Ltd,KEAC23-B3,KEAC23-B3,KE-AC,KE-AC-B3,48.12710923,-80.09166219,Amikougami Creek,Ontario,Timiskaming,"Amikougami Creek,Kirkland Lake",Amikougami Creek,Amikougami Creek,Exposure,Amikougami Creek,Kirkland Lake exposure site,Gold,https://www.kirklandlakediscoveries.com/,0,N/A,0,N/A
KEAC23-B3,Kirkland Lake Gold Ltd,KEAC23-B3,KEAC23-B3,KE-AC,KE-AC-B3,48.12710923,-80.09166219,Amikougami Creek,Ontario,Timiskaming,"Amikougami Creek,Kirkland Lake",Amikougami Creek,Amikougami Creek,Exposure,Amikougami Creek,Kirkland Lake exposure site,Gold,https://www.kirklandlakediscoveries.com/,0,N/A,0,N/A
KEAC23-B4,Kirkland Lake Gold Ltd,KEAC23-B4,KEAC23-B4,KE-AC,KE-AC-B4,48.12713611,-80.09164828,Amikougami Creek,Ontario,Timiskaming,"Amikougami Creek,Kirkland Lake",Amikougami Creek,Amikougami Creek,Exposure,Amikougami Creek,Kirkland Lake exposure site,Gold,https://www.kirklandlakediscoveries.com/,0,N/A,0,N/A
KEAC23-B5,Kirkland Lake Gold Ltd,KEAC23-B5,KEAC23-B5,KE-AC,KE-AC-B5,48.12719876,-80.09160685,Amikougami Creek,Ontario,Timiskaming,"Amikougami Creek,Kirkland Lake",Amikougami Creek,Amikougami Creek,Exposure,Amikougami Creek,Kirkland Lake exposure site,Gold,https://www.kirklandlakediscoveries.com/,0,N/A,0,N/A
ACFD23-WQ,,AC-FD,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
KRAC23-B1W,Kirkland Lake Gold Ltd,KRAC23-B1,KRAC23-B1,KR-AC,KR-AC-B1,48.13062897,-80.09303817,Amikougami Creek,Ontario,Timiskaming,"Amikougami Creek, Kirkland Lake",Amikougami Creek,Amikougami Creek,Reference,Amikougami Creek,Kirkland Lake reference site,Gold,https://www.kirklandlakediscoveries.com/,0,N/A,0,N/A
KRAC23-B2W,Kirkland Lake Gold Ltd,KRAC23-B2,KRAC23-B2,KR-AC,KR-AC-B2,48.13067395,-80.09303738,Amikougami Creek,Ontario,Timiskaming,"Amikougami Creek, Kirkland Lake",Amikougami Creek,Amikougami Creek,Reference,Amikougami Creek,Kirkland Lake reference site,Gold,https://www.kirklandlakediscoveries.com/,0,N/A,0,N/A
KRAC23-B3W,Kirkland Lake Gold Ltd,KRAC23-B3,KRAC23-B3,KR-AC,KR-AC-B3,48.13078211,-80.09306235,Amikougami Creek,Ontario,Timiskaming,"Amikougami Creek, Kirkland Lake",Amikougami Creek,Amikougami Creek,Reference,Amikougami Creek,Kirkland Lake reference site,Gold,https://www.kirklandlakediscoveries.com/,0,N/A,0,N/A
KRAC23-B4W,Kirkland Lake Gold Ltd,KRAC23-B4,KRAC23-B4,KR-AC,KR-AC-B4,48.13089874,-80.09301998,Amikougami Creek,Ontario,Timiskaming,"Amikougami Creek, Kirkland Lake",Amikougami Creek,Amikougami Creek,Reference,Amikougami Creek,Kirkland Lake reference site,Gold,https://www.kirklandlakediscoveries.com/,0,N/A,0,N/A
KRAC23-B5W,Kirkland Lake Gold Ltd,KRAC23-B5,KRAC23-B5,KR-AC,KR-AC-B5,48.13098827,-80.09296464,Amikougami Creek,Ontario,Timiskaming,"Amikougami Creek, Kirkland Lake",Amikougami Creek,Amikougami Creek,Reference,Amikougami Creek,Kirkland Lake reference site,Gold,https://www.kirklandlakediscoveries.com/,0,N/A,0,N/A
KEAC23-B1W,Kirkland Lake Gold Ltd,KEAC23-B1,KEAC23-B1,KE-AC,KE-AC-B1,48.12697535,-80.09179894,Amikougami Creek,Ontario,Timiskaming,"Amikougami Creek,Kirkland Lake",Amikougami Creek,Amikougami Creek,Exposure,Amikougami Creek,Kirkland Lake exposure site,Gold,https://www.kirklandlakediscoveries.com/,0,N/A,0,N/A
KEAC23-B2W,Kirkland Lake Gold Ltd,KEAC23-B2,KEAC23-B2,KE-AC,KE-AC-B2,48.12703811,-80.09177095,Amikougami Creek,Ontario,Timiskaming,"Amikougami Creek,Kirkland Lake",Amikougami Creek,Amikougami Creek,Exposure,Amikougami Creek,Kirkland Lake exposure site,Gold,https://www.kirklandlakediscoveries.com/,0,N/A,0,N/A
KEAC23-B3W,Kirkland Lake Gold Ltd,KEAC23-B3,KEAC23-B3,KE-AC,KE-AC-B3,48.12710923,-80.09166219,Amikougami Creek,Ontario,Timiskaming,"Amikougami Creek,Kirkland Lake",Amikougami Creek,Amikougami Creek,Exposure,Amikougami Creek,Kirkland Lake exposure site,Gold,https://www.kirklandlakediscoveries.com/,0,N/A,0,N/A
KEAC23-B4W,Kirkland Lake Gold Ltd,KEAC23-B4,KEAC23-B4,KE-AC,KE-AC-B4,48.12713611,-80.09164828,Amikougami Creek,Ontario,Timiskaming,"Amikougami Creek,Kirkland Lake",Amikougami Creek,Amikougami Creek,Exposure,Amikougami Creek,Kirkland Lake exposure site,Gold,https://www.kirklandlakediscoveries.com/,0,N/A,0,N/A
KEAC23-B5W,Kirkland Lake Gold Ltd,KEAC23-B5,KEAC23-B5,KE-AC,KE-AC-B5,48.12719876,-80.09160685,Amikougami Creek,Ontario,Timiskaming,"Amikougami Creek,Kirkland Lake",Amikougami Creek,Amikougami Creek,Exposure,Amikougami Creek,Kirkland Lake exposure site,Gold,https://www.kirklandlakediscoveries.com/,0,N/A,0,N/A
AEAB23-B1,Anderson Lake Mine,AEAB23-B1,AEAB23-B1,AE-AB,AE-AB-B1,54.83212,-99.94675,"Wekusko Lake, Anderson Bay",Manitoba,Northern Manitoba,"Wekusko Lake, Anderson Bay","Wekusko Lake, Anderson Bay",Anderson Bay,Exposure,Wekusko Lake,Anderson Mine Exposure Site,"Copper, Gold, Silver, Zinc",https://www.gov.mb.ca/iem/min-ed/mbhistory/mininv/482.htm?,0,N/A,0,N/A
